,Timestamp,Data1,Data2,Label
0,6.0,5.44,9.28,1
1,6.01,12.78,-7.41,1
2,6.03,-10.75,7.12,1
3,6.04,0.61,-6.85,1
4,6.05,-6.62,3.25,1
5,6.07,23.11,-7.45,1
6,6.08,-18.71,-4.52,1
7,6.09,-3.85,1.44,1
8,6.11,25.49,0.13,1
9,6.12,-4.85,13.99,1
10,6.13,16.56,11.13,1
11,6.15,-13.4,-10.57,2
12,6.16,-6.4,-20.75,2
13,6.17,11.05,19.27,2
14,6.19,15.46,-2.66,2
15,6.2,101.19,-7.33,2
16,6.21,195.24,27.55,2
17,6.23,218.54,31.39,2
18,6.24,178.39,43.84,2
19,6.25,126.42,39.58,2
20,6.27,71.91,-12.08,2
21,6.28,25.16,-54.84,2
22,6.29,-54.21,-72.75,2
23,6.31,-101.19,-93.12,2
24,6.32,-130.47,-72.6,2
25,6.33,-168.79,-55.07,2
26,6.35,-192.3,-20.61,2
27,6.36,-199.12,-9.08,2
28,6.37,-149.94,10.43,2
29,6.39,-181.71,18.24,2
30,6.4,-158.67,35.1,2
31,6.41,-153.54,42.06,2
32,6.43,-121.35,45.73,2
33,6.44,-120.43,47.36,2
34,6.45,-91.89,27.11,2
35,6.47,-77.06,21.67,2
36,6.48,-73.53,23.16,2
37,6.49,-73.46,42.27,2
38,6.51,-31.98,39.23,2
39,6.52,-12.56,36.98,2
40,6.53,7.64,39.49,2
41,6.55,41.0,23.97,2
42,6.56,44.94,19.0,1
43,6.57,73.61,8.6,1
44,6.59,66.21,4.09,1
45,6.6,86.53,13.99,1
46,6.61,70.39,-10.73,1
47,6.63,95.06,-18.69,1
48,6.64,84.7,-12.87,1
49,6.65,92.49,-16.05,1
50,6.67,98.36,-18.23,1
51,6.68,89.2,2.54,1
52,6.69,86.15,-25.25,1
53,6.71,76.81,-26.45,1
54,6.72,74.47,-23.45,1
55,6.73,97.46,-6.77,1
56,6.75,68.18,-20.5,1
57,6.76,59.29,-15.21,1
58,6.77,76.79,-7.8,1
59,6.79,92.3,3.86,1
60,6.8,65.52,2.35,1
61,6.81,39.21,-14.59,1
62,6.83,37.24,-27.6,1
63,6.84,59.37,-35.94,1
64,6.85,34.54,-16.23,1
65,6.87,32.43,-25.28,1
66,6.88,28.06,-16.55,1
67,6.89,13.02,-2.67,1
68,6.91,-5.78,-14.73,1
69,6.92,-6.98,-15.64,1
70,6.93,2.58,-15.64,1
71,6.95,-15.26,4.89,1
72,6.96,-24.41,13.72,1
73,6.97,-26.2,-15.02,1
74,6.99,-8.48,-8.63,1
75,7.0,-23.7,-10.87,1
76,7.01,-36.46,0.3,1
77,7.03,-28.3,1.87,1
78,7.04,-22.18,9.2,1
79,7.05,-37.54,6.8,1
80,7.07,-44.75,6.95,1
81,7.08,-52.43,23.47,1
82,7.09,-42.52,-3.04,1
83,7.11,-32.66,14.66,1
84,7.12,-39.78,14.31,1
85,7.13,-44.11,11.83,1
86,7.15,-31.6,7.12,1
87,7.16,-27.53,17.55,1
88,7.17,-18.01,11.15,1
89,7.19,-26.55,16.55,1
90,7.2,-16.04,16.56,1
91,7.21,-28.92,-1.65,1
92,7.23,-34.85,-18.09,1
93,7.24,-14.46,-16.73,1
94,7.25,-15.59,19.07,1
95,7.27,-25.19,-4.26,1
96,7.28,-21.72,16.88,1
97,7.29,-6.84,11.11,1
98,7.31,-31.13,3.22,1
99,7.32,-30.57,10.75,1
100,7.33,-30.51,14.57,1
101,7.35,-7.68,2.97,1
102,7.36,-13.43,11.92,1
103,7.37,-16.93,20.1,1
104,7.39,-10.35,19.87,1
105,7.4,3.3,-0.14,1
106,7.41,-3.99,-6.37,1
107,7.43,-14.16,-13.06,1
108,7.44,-5.33,-20.11,1
109,7.45,18.75,5.28,1
110,7.47,13.48,-3.39,1
111,7.48,-12.31,-16.32,1
112,7.49,-7.68,-2.94,1
113,7.51,11.41,-8.91,1
114,7.52,0.79,-1.12,1
115,7.53,1.9,4.94,1
116,7.55,-4.59,10.69,1
117,7.56,19.51,-2.65,1
118,7.57,11.34,-5.91,1
119,7.59,19.27,-10.1,1
120,7.6,26.98,1.24,1
121,7.61,11.13,10.31,1
122,7.63,11.21,13.03,1
123,7.64,12.4,-1.67,1
124,7.65,24.07,-13.17,1
125,7.67,12.62,1.14,1
126,7.68,-1.35,-1.9,1
127,7.69,8.37,-10.43,1
128,7.71,9.89,-10.1,1
129,7.72,16.31,-1.26,1
130,7.73,10.38,-10.58,1
131,7.75,17.04,-21.59,1
132,7.76,29.92,6.02,1
133,7.77,8.56,-6.99,1
134,7.79,5.34,2.19,1
135,7.8,4.63,2.48,1
136,7.81,24.02,-7.61,1
137,7.83,13.26,14.78,1
138,7.84,-8.71,1.25,1
139,7.85,4.27,11.59,1
140,7.87,11.75,-2.35,1
141,7.88,3.08,-0.51,1
142,7.89,-7.03,-4.59,1
143,7.91,-7.53,6.89,1
144,7.92,8.72,-2.51,1
145,7.93,-2.67,-10.97,1
146,7.95,-10.35,3.11,1
147,7.96,-3.37,-2.67,1
148,7.97,6.39,-8.72,1
149,7.99,-5.38,0.07,1
150,8.0,-1.42,18.6,1
151,8.01,-16.78,-7.41,1
152,8.03,-5.77,26.25,1
153,8.04,1.23,-2.37,1
154,8.05,-3.82,-6.29,1
155,8.07,19.02,-10.3,1
156,8.08,14.34,-2.32,1
157,8.09,-6.66,10.01,1
158,8.11,-6.99,-2.78,1
159,8.12,11.76,0.52,1
160,8.13,-23.51,-1.49,1
161,8.15,12.8,19.27,0
162,8.16,-1.34,14.33,0
163,8.17,-103.24,-3.17,0
164,8.19,-116.21,19.0,0
165,8.2,-197.0,6.02,0
166,8.21,-174.29,13.75,0
167,8.23,-187.49,9.28,0
168,8.24,-161.08,-17.72,0
169,8.25,-105.01,-8.23,0
170,8.27,-75.57,-46.16,0
171,8.28,-12.26,-27.76,0
172,8.29,25.5,-9.61,0
173,8.31,89.13,-28.44,0
174,8.32,200.62,-9.65,0
175,8.33,280.55,-16.76,0
176,8.35,286.66,-21.78,0
177,8.36,279.16,-2.14,0
178,8.37,278.12,26.34,0
179,8.39,256.15,22.68,0
180,8.4,217.39,12.82,0
181,8.41,166.57,3.85,0
182,8.43,145.08,7.83,0
183,8.44,99.75,19.04,0
184,8.45,68.62,6.04,0
185,8.47,39.82,-3.23,0
186,8.48,13.04,6.47,0
187,8.49,-37.38,4.59,0
188,8.51,-47.26,1.54,0
189,8.52,-66.97,-5.33,0
190,8.53,-56.83,-10.15,0
191,8.55,-78.54,-3.68,1
192,8.56,-89.63,3.05,1
193,8.57,-97.54,-4.57,1
194,8.59,-95.4,13.77,1
195,8.6,-102.29,5.57,1
196,8.61,-115.6,12.78,1
197,8.63,-152.36,22.35,1
198,8.64,-116.6,11.08,1
199,8.65,-118.62,2.92,1
200,8.67,-98.96,8.23,1
201,8.68,-98.09,-9.27,1
202,8.69,-73.75,-12.82,1
203,8.71,-89.82,20.31,1
204,8.72,-68.86,-11.87,1
205,8.73,-54.61,6.32,1
206,8.75,-54.09,7.57,1
207,8.76,-44.53,-2.76,1
208,8.77,-57.53,-13.59,1
209,8.79,-34.79,-9.25,1
210,8.8,-50.74,-22.21,1
211,8.81,-49.13,-11.4,1
212,8.83,-47.59,-1.89,1
