,Timestamp,Data1,Data2,Label
0,6.0,-7.18,5.64,1
1,6.01,-7.04,1.1,1
2,6.03,-24.84,4.5,1
3,6.04,-10.36,34.93,1
4,6.05,4.95,-0.86,1
5,6.07,12.42,-13.62,1
6,6.08,16.97,43.07,1
7,6.09,14.89,-30.77,1
8,6.11,0.58,2.3,1
9,6.12,-3.18,19.01,1
10,6.13,12.37,-3.33,1
11,6.15,-19.25,-17.21,2
12,6.16,-2.43,40.62,2
13,6.17,22.45,-19.21,2
14,6.19,97.93,5.01,2
15,6.2,171.47,45.23,2
16,6.21,221.36,36.24,2
17,6.23,176.19,82.62,2
18,6.24,187.69,73.13,2
19,6.25,107.81,-64.83,2
20,6.27,42.13,-78.64,2
21,6.28,-27.37,-69.27,2
22,6.29,-104.8,-129.63,2
23,6.31,-158.72,-166.11,2
24,6.32,-176.98,-50.66,2
25,6.33,-169.39,-62.91,2
26,6.35,-197.46,-21.39,2
27,6.36,-194.36,13.94,2
28,6.37,-176.26,10.06,2
29,6.39,-194.08,18.81,2
30,6.4,-132.53,89.52,2
31,6.41,-142.96,23.76,2
32,6.43,-135.77,50.3,2
33,6.44,-107.35,62.73,2
34,6.45,-61.32,56.01,2
35,6.47,-70.53,37.21,2
36,6.48,-32.38,50.47,2
37,6.49,-29.01,43.44,2
38,6.51,-2.53,31.35,2
39,6.52,13.21,48.11,2
40,6.53,31.47,22.45,2
41,6.55,28.65,34.87,2
42,6.56,66.71,20.51,1
43,6.57,78.93,-21.29,1
44,6.59,67.0,12.41,1
45,6.6,90.87,7.74,1
46,6.61,104.79,-11.04,1
47,6.63,61.52,-19.3,1
48,6.64,89.93,10.25,1
49,6.65,99.21,-6.34,1
50,6.67,77.68,-28.25,1
51,6.68,109.55,-8.55,1
52,6.69,104.57,-18.23,1
53,6.71,70.65,-17.45,1
54,6.72,77.41,-4.97,1
55,6.73,89.76,7.42,1
56,6.75,57.69,-0.71,1
57,6.76,81.47,-9.61,1
58,6.77,77.65,-26.7,1
59,6.79,44.82,-40.65,1
60,6.8,28.06,-33.22,1
61,6.81,31.91,0.65,1
62,6.83,9.52,-61.55,1
63,6.84,20.26,-25.87,1
64,6.85,14.91,-23.98,1
65,6.87,-1.7,-19.59,1
66,6.88,-1.29,-3.89,1
67,6.89,32.85,-10.39,1
68,6.91,-17.11,-24.31,1
69,6.92,-3.67,-12.42,1
70,6.93,7.0,-22.58,1
71,6.95,-18.17,-27.46,1
72,6.96,0.57,-6.16,1
73,6.97,-14.47,25.37,1
74,6.99,-37.05,-11.78,1
75,7.0,-29.89,14.98,1
76,7.01,-19.39,29.31,1
77,7.03,-28.26,-14.48,1
78,7.04,-49.06,1.79,1
79,7.05,-31.42,-1.5,1
80,7.07,-48.31,-25.23,1
81,7.08,-25.31,21.69,1
82,7.09,-16.5,14.69,1
83,7.11,-44.9,-11.86,1
84,7.12,-9.28,1.17,1
85,7.13,-15.64,31.28,1
86,7.15,-42.52,4.89,1
87,7.16,-18.55,5.49,1
88,7.17,-27.24,30.82,1
89,7.19,-58.61,-1.75,1
90,7.2,-28.83,16.83,1
91,7.21,-7.46,43.57,1
92,7.23,-33.75,53.13,1
93,7.24,-27.19,5.78,1
94,7.25,-15.42,39.14,1
95,7.27,-22.42,2.49,1
96,7.28,-8.45,8.4,1
97,7.29,4.13,19.73,1
98,7.31,-22.97,-16.83,1
