,Timestamp,Data1,Data2,Label
0,6.0,15.41,-13.32,1
1,6.01,12.02,-7.24,1
2,6.03,6.99,2.97,1
3,6.04,1.8,3.4,1
4,6.05,2.26,-1.1,1
5,6.07,11.7,2.41,1
6,6.08,13.58,8.57,1
7,6.09,-0.96,1.77,1
8,6.11,-8.93,-15.48,1
9,6.12,1.04,-20.96,1
10,6.13,10.96,-9.57,1
11,6.15,8.49,-20.65,1
12,6.16,-1.85,-51.0,1
13,6.17,-3.37,-13.36,1
14,6.19,9.28,65.14,1
15,6.2,12.19,56.63,1
16,6.21,-8.67,21.8,1
17,6.23,-36.78,75.07,1
18,6.24,-39.97,118.58,1
19,6.25,-4.58,112.85,1
20,6.27,11.14,175.61,1
21,6.28,-23.15,214.57,1
22,6.29,-23.15,122.99,1
23,6.31,26.26,96.38,1
24,6.32,28.98,171.55,1
25,6.33,-8.39,137.73,1
26,6.35,-1.33,56.78,1
27,6.36,26.18,73.14,1
28,6.37,11.26,57.0,1
29,6.39,-14.22,-47.43,1
30,6.4,-16.98,-96.58,1
31,6.41,-23.35,-74.11,1
32,6.43,-26.01,-82.8,1
33,6.44,4.83,-130.45,1
34,6.45,31.77,-162.69,1
35,6.47,11.59,-168.73,1
36,6.48,-18.47,-144.12,1
37,6.49,-13.69,-73.4,1
38,6.51,7.49,9.72,1
39,6.52,6.82,35.72,1
40,6.53,-4.68,-43.28,1
41,6.55,15.83,-168.92,1
42,6.56,44.97,-170.3,1
43,6.57,30.95,-59.18,1
44,6.59,0.55,-41.65,1
45,6.6,-10.63,-79.08,1
46,6.61,-15.95,-22.37,1
47,6.63,-14.11,20.03,1
48,6.64,-0.55,-37.68,1
49,6.65,4.21,-81.06,1
50,6.67,-2.67,-63.52,1
51,6.68,2.69,-43.85,1
52,6.69,22.69,-44.96,1
53,6.71,25.92,-53.21,1
54,6.72,4.69,-63.83,1
55,6.73,-1.71,-82.47,1
56,6.75,11.31,-98.62,1
57,6.76,1.25,-73.58,1
58,6.77,-13.97,7.67,1
59,6.79,8.11,65.98,1
60,6.8,28.6,34.23,1
61,6.81,8.84,-12.52,1
62,6.82,-12.6,-5.9,1
63,6.84,-10.56,-4.66,1
64,6.85,-10.71,-48.29,1
65,6.86,-13.25,-65.98,1
66,6.88,-5.37,-14.69,1
67,6.89,-6.51,23.11,1
68,6.91,-12.0,-17.85,1
69,6.92,4.06,-82.77,1
70,6.93,21.95,-90.12,1
71,6.95,10.71,-19.86,1
72,6.96,-12.61,40.74,1
73,6.97,-13.63,-4.46,1
74,6.99,-1.28,-67.24,1
75,7.0,-3.81,-34.04,1
76,7.01,-11.59,13.36,1
77,7.03,-13.87,-4.53,1
78,7.04,-21.87,-42.71,1
79,7.05,-26.77,-58.95,1
80,7.07,-14.28,-38.37,1
81,7.08,1.47,5.08,1
82,7.09,2.3,20.53,1
