,Timestamp,Data1,Data2,Label
0,6.0,2.34,-2.51,1
1,6.01,-1.51,11.19,1
2,6.03,-15.39,10.6,1
3,6.04,-4.19,4.12,1
4,6.05,-3.01,-1.4,1
5,6.07,-14.47,-0.91,1
6,6.08,-0.93,-31.39,1
7,6.09,10.78,-19.48,1
8,6.11,13.74,-6.76,1
9,6.12,-2.64,9.1,1
10,6.13,11.43,45.64,1
11,6.15,-9.8,51.11,1
12,6.16,-13.06,64.95,1
13,6.17,51.17,188.97,1
14,6.19,32.4,227.83,1
15,6.2,-166.87,295.25,1
16,6.21,133.55,224.24,1
17,6.23,90.46,165.37,1
18,6.24,92.96,117.88,1
19,6.25,142.08,58.81,1
20,6.27,-34.44,9.57,1
21,6.28,187.26,-34.46,1
22,6.29,-168.93,-71.43,1
23,6.31,254.62,-119.35,1
24,6.32,50.84,-374.8,1
25,6.33,42.27,-773.56,1
26,6.35,-148.95,-388.61,1
27,6.36,-2.64,-96.98,1
28,6.37,64.07,-225.62,1
29,6.39,-350.45,-817.54,1
30,6.4,-168.85,-304.88,1
31,6.41,-215.37,-114.9,1
32,6.43,37.84,-289.97,1
33,6.44,-112.85,-86.93,1
34,6.45,-234.79,211.64,1
35,6.47,3.84,321.14,1
36,6.48,-90.18,-398.2,1
37,6.49,-92.95,-88.4,1
38,6.51,-142.07,-2.54,1
39,6.52,-87.18,403.73,1
40,6.53,182.65,409.54,1
41,6.55,-3.38,-42.27,1
42,6.56,-25.34,190.43,1
43,6.57,-28.72,112.41,1
44,6.59,42.07,535.91,1
45,6.6,-122.12,480.0,1
46,6.61,78.71,-13.74,1
47,6.63,-68.48,284.61,1
48,6.64,72.11,-66.11,1
49,6.65,133.77,564.83,1
50,6.67,-131.71,-73.54,1
51,6.68,69.03,49.11,1
52,6.69,264.46,205.78,1
53,6.71,217.25,32.05,1
54,6.72,21.48,266.62,1
55,6.73,197.94,384.84,1
56,6.75,-113.06,111.66,1
57,6.76,310.03,-15.22,1
58,6.77,153.95,-112.78,1
59,6.79,-80.11,-45.89,1
60,6.8,-127.06,349.85,1
61,6.81,180.29,-303.71,1
62,6.83,-52.12,-28.94,1
63,6.84,55.71,330.98,1
64,6.85,-0.11,223.52,1
65,6.87,77.49,20.73,1
66,6.88,257.96,-341.51,1
67,6.89,-44.81,-181.43,1
68,6.91,-137.96,-46.95,1
69,6.92,67.1,-81.98,1
70,6.93,-168.06,-277.67,1
71,6.95,-121.63,-225.17,1
72,6.96,-361.26,-191.93,1
73,6.97,-122.68,-267.63,1
74,6.99,40.05,-408.05,1
75,7.0,23.8,-99.54,1
76,7.01,72.45,-241.98,1
77,7.03,-9.02,-212.06,1
78,7.04,-24.23,-219.37,1
79,7.05,-93.19,-131.13,1
80,7.07,-63.02,-43.44,1
81,7.08,-58.58,5.31,1
82,7.09,-30.7,105.29,1
83,7.11,-29.45,140.75,1
84,7.12,10.95,78.37,1
85,7.13,79.05,-171.23,1
86,7.15,122.43,-177.28,1
87,7.16,125.01,-147.01,1
88,7.17,131.38,-177.42,1
89,7.19,116.52,-57.99,1
90,7.2,119.08,-44.55,1
91,7.21,132.5,17.4,1
92,7.23,86.63,60.71,1
93,7.24,78.21,73.92,1
94,7.25,34.38,116.59,1
95,7.27,46.11,137.11,1
96,7.28,29.47,172.58,1
97,7.29,26.42,164.79,1
98,7.31,3.31,158.67,1
99,7.32,-6.01,174.21,1
100,7.33,-25.05,182.32,1
101,7.35,-40.16,167.78,1
102,7.36,-52.62,125.95,1
103,7.37,-59.79,97.33,1
104,7.39,-38.32,124.41,1
105,7.4,-64.91,77.39,1
106,7.41,-64.67,75.07,1
107,7.43,-79.43,46.01,1
108,7.44,-79.29,30.22,1
109,7.45,-82.68,20.69,1
110,7.47,-65.04,17.19,1
111,7.48,-63.23,24.91,1
112,7.49,-70.35,-7.73,1
113,7.51,-56.61,-6.87,1
114,7.52,-67.2,-11.09,1
115,7.53,-70.94,-18.95,1
116,7.55,-51.18,-41.43,1
117,7.56,-48.14,-32.48,1
