,Timestamp,Data1,Data2,Label
0,6.0,6.29,-8.96,0
1,6.01,-6.48,-3.76,0
2,6.03,-17.77,-10.35,0
3,6.04,-10.59,26.26,0
4,6.05,-7.0,16.18,0
5,6.07,-3.45,0.86,0
6,6.08,-10.6,-6.32,0
7,6.09,9.21,2.1,0
8,6.11,16.24,8.66,1
9,6.12,20.45,5.15,1
10,6.13,5.11,7.87,1
11,6.15,-13.5,60.88,1
12,6.16,11.77,76.24,1
13,6.17,66.05,148.92,1
14,6.19,180.87,159.3,1
15,6.2,-72.44,333.91,1
16,6.21,-12.89,280.45,1
17,6.23,233.84,214.38,1
18,6.24,129.33,65.46,1
19,6.25,-125.71,-96.57,1
20,6.27,218.0,35.58,1
21,6.28,41.32,46.48,1
22,6.29,170.68,-5.73,1
23,6.31,6.99,-36.87,1
24,6.32,-17.71,-72.88,1
25,6.33,-138.52,-97.99,1
26,6.35,-209.08,-120.9,1
27,6.36,-326.77,-138.47,1
28,6.37,-268.64,-150.45,1
29,6.39,-140.14,-158.07,1
30,6.4,-204.4,-226.83,1
31,6.41,-131.2,-272.11,1
32,6.43,9.9,-126.59,1
33,6.44,72.12,-243.78,1
34,6.45,-142.36,-138.07,1
35,6.47,212.7,-76.5,1
36,6.48,-361.58,-251.02,1
37,6.49,-49.56,-607.17,1
38,6.51,-128.0,-654.68,1
39,6.52,-8.59,-150.03,1
40,6.53,119.05,53.31,1
41,6.55,-89.94,-284.84,1
42,6.56,73.38,373.43,1
43,6.57,44.1,13.85,1
44,6.59,34.1,1.08,1
45,6.6,2.24,-72.99,1
46,6.61,-3.42,-151.43,1
47,6.63,201.8,331.63,1
48,6.64,71.56,363.08,1
49,6.65,160.64,108.79,1
50,6.67,10.82,-174.75,1
51,6.68,2.35,311.35,1
52,6.69,109.57,517.66,1
53,6.71,50.65,216.09,1
54,6.72,77.04,337.45,1
55,6.73,118.26,-102.18,1
56,6.75,-135.36,500.49,1
57,6.76,82.95,239.48,1
58,6.77,213.87,-186.11,1
59,6.79,33.84,112.85,1
60,6.8,-24.45,466.42,1
61,6.81,53.65,264.3,1
62,6.83,81.49,234.66,1
63,6.84,-143.0,-41.55,1
64,6.85,192.08,73.54,1
65,6.87,144.91,82.24,1
66,6.88,-7.78,-186.66,1
67,6.89,64.32,-369.82,1
68,6.91,46.2,-20.17,0
69,6.92,55.36,-227.57,0
70,6.93,-68.51,-134.83,0
71,6.95,63.67,-98.57,0
72,6.96,9.39,-212.06,0
73,6.97,-78.82,-219.64,0
74,6.99,-142.46,-143.94,0
75,7.0,-107.0,-83.23,0
76,7.01,-80.04,39.46,0
77,7.03,-37.88,145.47,0
78,7.04,20.97,120.95,0
79,7.05,23.65,145.58,0
80,7.07,21.69,75.69,0
81,7.08,15.27,98.09,0
82,7.09,44.49,158.06,0
83,7.11,45.6,236.51,0
84,7.12,45.94,220.84,0
85,7.13,27.22,213.41,0
86,7.15,23.93,244.15,0
87,7.16,24.03,229.7,0
88,7.17,14.82,207.63,0
89,7.19,8.44,119.26,0
90,7.2,-8.31,88.07,0
91,7.21,5.31,39.73,0
92,7.23,-35.4,16.77,0
93,7.24,-30.02,-38.89,0
94,7.25,-41.08,-57.86,0
95,7.27,-44.77,-90.19,0
96,7.28,-40.41,-133.86,0
97,7.29,-39.69,-156.9,0
98,7.31,-51.88,-138.37,0
99,7.32,-76.5,-146.74,0
100,7.33,-24.94,-169.38,0
101,7.35,-47.26,-160.78,0
102,7.36,-41.9,-169.71,0
103,7.37,-48.31,-168.52,0
104,7.39,-53.43,-182.82,0
105,7.4,-52.64,-142.6,0
106,7.41,-59.67,-137.79,0
107,7.43,-49.13,-114.2,0
108,7.44,-39.31,-158.02,0
109,7.45,-45.46,-122.41,0
110,7.47,-24.8,-107.22,0
111,7.48,-47.11,-89.52,0
112,7.49,-28.99,-96.05,0
113,7.51,-29.69,-85.34,0
