,Timestamp,Data1,Data2,Label
0,6.0,13.94,10.04,0
1,6.01,14.17,-2.87,0
2,6.03,4.52,-12.7,0
3,6.04,-10.02,-11.7,0
4,6.05,-9.86,-3.74,0
5,6.07,4.39,5.07,0
6,6.08,9.96,7.17,0
7,6.09,-2.37,2.5,0
8,6.11,-16.87,0.5,0
9,6.12,-14.85,5.47,0
10,6.13,1.55,13.22,0
11,6.15,12.82,15.64,0
12,6.16,12.15,3.87,0
13,6.17,9.46,-14.86,0
14,6.19,6.14,-21.12,0
15,6.2,-6.52,-16.27,0
16,6.21,-21.41,-35.76,0
17,6.23,-17.8,-87.41,0
18,6.24,9.85,-66.22,0
19,6.25,50.13,43.43,0
20,6.265,80.88,67.83,0
21,6.28,75.04,57.4,0
22,6.29,8.31,169.84,0
23,6.31,-77.7,301.07,0
24,6.32,-46.6,381.28,0
25,6.33,79.86,415.27,0
26,6.35,101.23,360.12,0
27,6.36,45.36,280.68,0
28,6.37,44.01,245.73,0
29,6.39,16.02,220.01,0
30,6.4,-32.57,177.25,0
31,6.41,5.73,136.07,0
32,6.43,30.03,106.78,0
33,6.44,-31.78,79.05,0
34,6.45,-47.6,48.56,0
35,6.47,8.07,21.04,0
36,6.48,-4.78,-1.88,0
37,6.49,-93.26,-23.51,0
38,6.51,-126.71,-44.56,0
39,6.52,-104.73,-63.44,0
40,6.53,-104.15,-80.32,0
41,6.55,-78.15,-95.86,0
42,6.56,-11.74,-109.72,0
43,6.57,-5.95,-122.1,0
44,6.59,-47.92,-133.34,0
45,6.6,-42.86,-143.11,0
46,6.61,-8.07,-151.29,0
47,6.63,-5.58,-158.49,0
48,6.64,-12.88,-165.13,0
49,6.65,7.6,-170.18,0
50,6.67,25.56,-172.88,0
51,6.68,34.02,-175.22,0
52,6.69,29.98,-178.09,0
53,6.71,-30.68,-180.0,0
54,6.72,-83.9,-180.15,0
55,6.73,-38.37,-179.19,0
56,6.75,13.68,-177.93,0
57,6.76,-8.55,-176.47,0
58,6.77,-3.52,-174.59,0
59,6.79,54.08,-171.92,0
60,6.8,57.26,-168.07,0
61,6.81,4.74,-163.39,0
62,6.82,-21.84,-158.57,0
63,6.84,-1.25,-154.08,0
64,6.85,37.74,-149.69,0
65,6.86,50.07,-144.48,0
66,6.88,7.77,-138.24,0
67,6.89,-30.24,-132.1,0
68,6.91,2.5,-126.3,0
69,6.92,50.29,-120.27,0
70,6.93,49.12,-113.71,0
71,6.95,37.74,-106.51,0
72,6.96,48.53,-98.86,0
73,6.97,40.52,-91.53,0
74,6.99,3.0,-84.86,0
75,7.0,-15.6,-78.14,0
76,7.01,-13.22,-71.0,0
77,7.03,-5.2,-63.7,0
78,7.04,31.08,-56.74,0
79,7.05,64.97,-50.11,0
80,7.07,50.9,-43.31,0
81,7.08,28.86,-36.21,0
82,7.09,30.38,-29.32,0
83,7.11,29.71,-22.72,0
84,7.12,27.23,-16.1,0
85,7.13,34.65,-9.21,0
86,7.15,27.26,-2.68,0
87,7.16,13.7,2.76,0
88,7.17,28.57,7.65,0
89,7.19,27.88,13.43,0
90,7.2,-25.61,19.77,0
91,7.21,-61.58,25.34,0
92,7.23,-35.78,30.49,0
93,7.24,-10.31,18.54,0
94,7.25,-21.56,-24.32,0
95,7.27,-7.37,-33.04,0
96,7.28,33.27,30.75,0
97,7.29,9.9,27.25,0
98,7.31,-42.34,-132.5,0
99,7.32,-25.67,-264.56,0
100,7.33,7.67,-201.55,0
101,7.35,-0.85,-67.12,0
102,7.36,13.82,-20.75,0
103,7.37,52.89,-61.96,0
104,7.39,32.63,-163.33,0
105,7.4,-20.46,-203.73,0
106,7.41,-24.08,-76.4,0
107,7.43,5.44,14.77,0
108,7.44,10.1,-83.7,0
109,7.45,-0.33,-157.79,0
110,7.47,14.44,-39.21,0
111,7.48,29.69,125.03,0
112,7.49,6.09,138.3,0
113,7.51,-20.5,82.7,0
114,7.52,-13.99,180.74,0
115,7.53,7.61,333.6,0
116,7.55,26.17,278.83,0
117,7.56,16.26,113.41,0
118,7.57,-23.45,86.45,0
119,7.59,-35.12,189.84,0
120,7.6,-10.59,253.09,0
121,7.61,-2.2,201.82,0
122,7.63,-13.51,147.51,0
123,7.64,-17.18,147.86,0
124,7.65,-15.61,118.17,0
125,7.67,-7.15,113.8,0
126,7.68,14.3,237.95,0
127,7.69,17.09,365.8,0
128,7.71,-9.58,359.49,0
129,7.72,-16.75,279.65,0
130,7.73,11.18,221.58,0
131,7.75,19.71,210.35,0
132,7.76,-11.7,208.06,0
133,7.77,-24.0,178.52,0
134,7.79,2.79,162.44,0
135,7.8,2.56,162.02,0
136,7.81,-39.3,157.01,0
137,7.83,-50.8,204.16,0
138,7.84,-20.43,257.66,0
139,7.85,-13.5,160.73,0
140,7.87,-36.47,-30.21,0
141,7.88,-33.49,-24.98,0
142,7.89,10.21,232.66,0
143,7.91,40.33,407.71,0
144,7.92,8.18,274.59,0
145,7.93,-39.73,25.57,0
146,7.95,-24.56,-33.04,0
147,7.96,16.52,87.1,0
148,7.97,0.19,118.79,0
149,7.99,-33.69,63.73,0
150,8.0,-20.53,110.03,0
151,8.01,-7.3,162.05,0
152,8.03,-25.15,107.56,0
153,8.04,-18.57,70.83,0
154,8.05,23.72,85.84,0
155,8.07,47.54,86.09,0
156,8.08,31.21,114.15,0
157,8.09,-5.3,138.97,0
158,8.1,-26.24,62.21,0
159,8.12,-23.28,-20.7,0
160,8.13,-31.71,-26.97,0
161,8.15,-39.71,-35.67,0
162,8.16,-15.29,-35.55,0
163,8.17,2.62,21.61,0
164,8.19,-4.96,45.02,0
165,8.2,-1.67,-37.53,0
166,8.21,11.74,-138.29,0
167,8.23,12.12,-145.22,0
168,8.24,8.06,-96.03,0
169,8.25,13.87,-105.61,0
170,8.27,19.78,-190.28,0
171,8.28,12.32,-271.05,0
172,8.29,2.07,-287.19,0
173,8.31,5.07,-250.14,0
174,8.32,13.4,-199.42,0
175,8.33,10.21,-142.21,0
176,8.35,-3.56,-67.14,0
177,8.36,-13.22,-3.4,0
178,8.37,-13.77,-14.93,0
179,8.39,-9.35,-102.49,0
180,8.4,-3.61,-174.77,0
181,8.41,-5.47,-166.5,0
182,8.43,-12.71,-106.98,0
183,8.44,-11.2,-53.12,0
184,8.45,-3.53,-33.67,0
185,8.47,2.35,-35.47,0
186,8.48,8.7,-21.13,0
187,8.49,12.65,16.4,0
188,8.51,7.43,44.14,0
189,8.52,-0.4,39.31,0
190,8.53,1.05,10.97,0
191,8.55,4.13,-12.95,0
192,8.56,-2.91,-9.48,0
193,8.57,-10.55,13.14,0
194,8.59,-6.71,26.53,0
195,8.6,3.49,23.27,0
196,8.61,8.55,22.94,0
197,8.63,7.29,32.1,0
198,8.64,6.62,33.13,0
199,8.65,6.49,23.27,0
200,8.67,4.13,15.92,0
201,8.68,4.96,10.74,0
202,8.69,12.51,1.97,0
203,8.71,16.93,-7.84,0
204,8.72,6.84,-8.13,0
205,8.73,-13.67,3.37,0
206,8.75,-28.46,4.12,0
207,8.76,-23.82,-15.29,0
208,8.77,-3.27,-31.12,0
209,8.78,11.84,-31.77,0
210,8.8,5.87,-31.71,0
211,8.81,-9.31,-34.79,0
212,8.82,-11.75,-34.68,0
213,8.84,0.47,-36.74,0
214,8.85,9.47,-42.66,0
215,8.864999999999998,3.49,-47.15,0
216,8.88,-6.38,-53.26,0
217,8.89,-3.68,-61.56,0
218,8.91,7.28,-70.79,0
219,8.92,11.77,-82.35,0
220,8.93,9.54,-85.71,0
221,8.95,8.3,-75.89,0
222,8.96,4.37,-71.05,0
223,8.97,-6.11,-75.65,0
224,8.99,-10.01,-70.47,0
225,9.0,0.04,-55.36,0
226,9.01,11.41,-50.85,0
227,9.03,16.69,-61.62,0
228,9.04,18.97,-74.29,0
229,9.05,15.9,-80.09,0
230,9.07,6.95,-80.28,0
231,9.08,0.05,-76.94,0
232,9.09,-2.24,-72.01,0
233,9.11,-2.64,-70.99,0
234,9.12,-0.27,-72.0,0
235,9.13,1.5,-65.96,0
236,9.15,-4.07,-58.77,0
237,9.16,-9.03,-60.57,0
238,9.17,-1.04,-66.15,0
239,9.19,11.83,-71.49,0
240,9.2,15.79,-74.19,0
241,9.21,13.35,-64.23,0
242,9.23,12.4,-47.11,0
243,9.24,10.11,-43.3,0
244,9.25,2.78,-52.71,0
245,9.27,-2.14,-56.34,0
246,9.28,-0.13,-45.76,0
247,9.29,2.04,-31.29,0
248,9.31,0.05,-28.35,0
249,9.32,-2.63,-35.91,0
250,9.33,-3.13,-37.32,0
251,9.35,-3.96,-25.5,0
252,9.36,-4.31,-13.04,0
253,9.37,1.79,-15.71,0
254,9.39,13.02,-27.92,0
255,9.4,18.03,-30.4,0
256,9.41,10.7,-23.49,0
257,9.43,-0.7,-19.8,0
258,9.44,-4.51,-17.01,0
259,9.45,-0.68,-8.67,0
260,9.47,4.08,-4.07,0
261,9.48,10.67,-10.09,0
262,9.49,16.19,-10.48,0
263,9.51,9.32,3.26,0
264,9.52,-5.26,12.5,0
265,9.53,-9.78,8.32,0
266,9.55,-2.87,7.28,0
267,9.56,0.58,14.22,0
268,9.57,-1.2,14.72,0
269,9.59,1.11,10.48,0
270,9.6,0.13,12.03,0
271,9.61,-7.7,13.21,0
272,9.63,-4.62,9.75,0
273,9.64,8.78,12.55,0
274,9.65,13.19,26.89,0
275,9.67,8.14,37.61,0
276,9.68,6.06,31.16,0
277,9.69,7.98,20.92,0
278,9.71,6.01,24.9,0
279,9.72,-0.87,36.63,0
280,9.73,-4.89,38.6,0
281,9.75,-5.62,29.27,0
282,9.76,-8.04,24.17,0
283,9.77,-10.65,29.72,0
284,9.79,-14.16,32.91,0
285,9.8,-18.51,32.65,0
286,9.81,-14.16,41.83,0
287,9.83,0.02,49.85,0
288,9.84,13.17,40.74,0
289,9.85,19.24,28.12,0
290,9.87,13.34,27.23,0
291,9.88,-7.6,36.89,0
292,9.89,-27.25,50.26,0
293,9.91,-22.31,54.49,0
294,9.92,0.45,46.31,0
295,9.93,12.07,42.23,0
296,9.95,4.69,50.46,0
297,9.96,-6.46,58.51,0
298,9.97,-10.21,54.77,0
299,9.99,-7.51,40.1,0
300,10.0,-5.44,29.37,0
301,10.01,-6.17,32.52,0
302,10.02,-7.34,33.67,0
303,10.04,-11.22,25.98,0
304,10.05,-13.82,30.09,0
305,10.06,-2.42,42.61,0
306,10.08,17.6,35.77,0
307,10.09,23.11,15.19,0
308,10.1,8.59,9.18,0
309,10.12,-6.34,20.4,0
310,10.13,-6.3,34.19,0
311,10.15,2.44,42.42,0
312,10.16,7.84,44.3,0
313,10.17,5.81,44.84,0
314,10.19,-2.6,45.14,0
315,10.2,-10.63,40.02,0
316,10.21,-9.51,32.25,0
317,10.23,-1.17,26.93,0
318,10.24,5.05,21.42,0
319,10.25,8.01,12.32,0
320,10.27,15.83,-1.77,0
321,10.28,28.82,-27.42,0
322,10.29,27.89,-70.79,0
323,10.31,4.29,-115.16,0
324,10.32,-13.76,-133.75,0
325,10.33,-5.94,-128.84,0
326,10.35,8.2,-124.96,0
327,10.36,7.31,-137.89,0
328,10.37,-0.44,-152.52,0
329,10.39,3.32,-136.42,0
330,10.4,7.47,-92.09,0
331,10.41,-6.16,-53.64,0
332,10.43,-25.75,-32.02,0
333,10.44,-38.58,-6.0,0
334,10.45,-38.04,35.78,0
335,10.47,-20.61,76.43,0
336,10.48,-4.68,106.31,0
337,10.49,-4.03,137.73,0
338,10.51,-6.72,175.24,0
339,10.52,-5.65,202.69,0
340,10.53,-9.76,202.84,0
341,10.55,-15.3,182.07,0
342,10.56,-2.76,164.01,0
343,10.57,21.9,157.84,0
344,10.59,23.39,156.13,0
345,10.6,-4.14,148.29,0
346,10.61,-24.82,128.29,0
347,10.63,-17.89,106.19,0
348,10.64,0.74,93.9,0
349,10.65,10.6,84.79,0
350,10.67,4.84,71.31,0
351,10.68,-4.42,59.74,0
352,10.69,-1.26,55.49,0
353,10.71,1.43,51.71,0
354,10.72,-5.9,39.8,0
355,10.73,-4.21,19.99,0
356,10.75,6.56,-2.27,0
357,10.76,5.73,-14.78,0
358,10.77,-5.49,-7.93,0
359,10.78,-10.91,1.53,0
360,10.8,-9.03,-3.03,0
361,10.81,-6.56,-11.19,0
362,10.83,-1.75,-18.01,0
363,10.84,2.92,-30.33,0
364,10.85,8.06,-43.33,0
365,10.87,19.84,-48.94,0
366,10.88,19.36,-46.22,0
367,10.89,-0.87,-40.26,0
368,10.91,-9.72,-42.92,0
369,10.92,0.34,-54.01,0
370,10.93,4.09,-54.37,0
371,10.95,-4.22,-46.02,0
372,10.96,-1.86,-47.92,0
373,10.97,16.62,-54.91,0
374,10.99,18.62,-58.0,0
375,11.0,-5.99,-57.12,0
376,11.01,-20.07,-50.57,0
377,11.03,-9.36,-49.63,0
